destination,username,stars,original_text,cleanliness_sentiment,cleanliness_confidence,facilities_sentiment,facilities_confidence,price_sentiment,price_confidence,service_sentiment,service_confidence,accessibility_sentiment,accessibility_confidence,scenery_sentiment,scenery_confidence,atmosphere_sentiment,atmosphere_confidence,food_sentiment,food_confidence,safety_sentiment,safety_confidence,crowd_sentiment,crowd_confidence,photo_spot_sentiment,photo_spot_confidence,historical_value_sentiment,historical_value_confidence,aspects_detected,aspect_sentiments,num_aspects
Pantai Drini,san haninda,5,"Pantainya keren, bagus, ramai, dan banyak penyewaan duduk di bawah payung. Ada bukit yang bisa dinaikin. Di bukit pulau Drini bisa liat pantai dan lautannya lebih luas, ombaknya besar di sisi barat, ombak agak tenang di sisi timur. Dan tentu bisa banget liat sunset di sini. Anak-anak suka bermain di hilir sungai, Pokoknya cakep banget.",,,,,,,,,,,negative,0.524,negative,0.524,,,negative,0.524,negative,0.524,,,,,"scenery, atmosphere, safety, crowd",scenery:negative; atmosphere:negative; safety:negative; crowd:negative,4
Pantai Sundak,Fahma Isnaita Saheti,1,Kebanyakan Gazebo berbayar Seharusnya itu bisa gratis fasilitas Pantai. Banyak pasang tenda berjejer. Sangat mengganggu aktivitas liburan. Harusnya persewaan tenda dilipat saja. Biar nggak mengganggu kenyamanan.,,,negative,0.424,negative,0.424,,,,,,,negative,0.424,,,negative,0.424,,,,,,,"facilities, price, atmosphere, safety",facilities:negative; price:negative; atmosphere:negative; safety:negative,4
Situs Warungboto,Nunung Nurlaela,5,"Asik banget untuk foto-foto dan bikin konten. Atau sekadar lihat-lihat. Bersih dan lumayan nyaman. Saran aja, kalau ke sini baiknya sore agar tidak panas. Masuk gratis loh... Cukup bayar parkir motor 3K. Parkir mobil juga ada ya. Bisa diparkir di tepi jalan. Di sekitar situsnya.",negative,0.553,negative,0.553,negative,0.553,,,negative,0.553,,,negative,0.553,,,negative,0.553,,,negative,0.553,,,"cleanliness, facilities, price, accessibility, atmosphere, safety, photo_spot",cleanliness:negative; facilities:negative; price:negative; accessibility:negative; atmosphere:negative; safety:negative; photo_spot:negative,7
Bukit Bintang,Toko dan Penginapan JALA SUTRA,5,"Tempat yang indah dengan city viewnya, makanan relatof murah dengan banyak pilihan menu yang di tawarkan, tersedia beberapa lantai lesehan untuk menikmati hidangan dan pemandangan. Romantis bila di kunjungi bersama pasangan pada malam hari.",,,,,positive,0.438,,,,,positive,0.438,,,positive,0.438,,,,,,,,,"price, scenery, food",price:positive; scenery:positive; food:positive,3
Agrowisata Bhumi Merapi,lailiyah masrifah,5,Spot foto² ter epic tiket murah dilengkapi dengan satwa tempatnya sejuk di kaki gunung bersih dan nyaman,positive,0.519,,,positive,0.519,,,,,,,positive,0.519,,,positive,0.519,,,positive,0.519,,,"cleanliness, price, atmosphere, safety, photo_spot",cleanliness:positive; price:positive; atmosphere:positive; safety:positive; photo_spot:positive,5
Pantai Sadranan,Cameliafina 14,5,Pantai favorit untuk dikunjungi.. Pasir putih Airnya biru Gasebo banyak Bisa snorkling dan bermain kanoe Warung yang jualan juga bersih Parkir mobil di depan pantai,positive,0.981,positive,0.981,,,,,positive,0.981,,,,,positive,0.981,,,,,,,,,"cleanliness, facilities, accessibility, food",cleanliness:positive; facilities:positive; accessibility:positive; food:positive,4
Pantai Indrayanti,Shinta Wardhani,5,Retribusi masuk di pintu awal 15k/org dewasa. Bebas masuk ke semua pantai. Hanya tinggal bayar parkir saja. Pantai Indryanati adalah pantai pertama yg dilewati jd paling dekat. Pasir putih. Ada area tempat anak bisa bermain air laut. Walau harus hati-hati karena banyak koral. Disini banyak yg menawarkan foto dgn harga 3rb per jepretan. Lumayan jg hasilnya. Sklian membantu lokal.,,,negative,0.479,negative,0.479,,,negative,0.479,,,,,,,negative,0.479,,,negative,0.479,,,"facilities, price, accessibility, safety, photo_spot",facilities:negative; price:negative; accessibility:negative; safety:negative; photo_spot:negative,5
Pantai Gesing,Duwi Purnomo,5,"Tempatnya asik, bnyak spot foto, parkir luas, musholla besar, toilet bnyak, bersih, dekat dermaga nelayan, recommended,",positive,0.768,positive,0.768,,,,,positive,0.768,,,,,,,,,,,positive,0.768,,,"cleanliness, facilities, accessibility, photo_spot",cleanliness:positive; facilities:positive; accessibility:positive; photo_spot:positive,4
Pantai Drini,Sri Asih,5,"Htm 15k, pantai pasir putih yang bisa bermain kano dan renang aman untuk anak, penyewaan gazebo 50k sepuasnya, toilet mushola dan warung banyak tersebar. Pemandangan sangat indah dilihat dari puncak drini. Ok mantap",,,negative,0.623,,,,,,,negative,0.623,,,negative,0.623,negative,0.623,,,,,,,"facilities, scenery, food, safety",facilities:negative; scenery:negative; food:negative; safety:negative,4
Pantai Nglambor,Janeeeyaa,4,"Dari depok Jogja ke sini 1 Jam 45 Menit (capek banget tsay) jalanannya sepi dan gak disarankan untuk pulang malem kalau emang jauh. Akses jalanannya sepi tapi lancar dan hati2 curam ya jalanannya. Awal sampe lgsg ditawarin snorkling pdhl mau foto2 dulu, tp ditakut2in nnti pasang air naik🥲🥲 ke hapus dah makeupnya. Tiket masuk awal per orang 5ribu, parkir 5ribu, snorkling per orang 45ribu, kalo naik ke atas jembatan per orang 30ribu (naiknya pas sunrise/sunset aja biar dapet momennya) semakin di a",,,negative,0.796,negative,0.796,negative,0.796,negative,0.796,negative,0.796,negative,0.796,negative,0.796,negative,0.796,negative,0.796,negative,0.796,,,"facilities, price, service, accessibility, scenery, atmosphere, food, safety, crowd, photo_spot",facilities:negative; price:negative; service:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative; crowd:negative; photo_spot:negative,10
Makam Raja-Raja Imogiri,Anindyati Prastuti,5,Tenang. Teduh. Sejuk. Damai. Bersih. Sayang tidak bisa untuk bermalam. Perhatikan jadwal kunjungan. Tidak buka setiap hari setiap waktu. Banyak batasan mengikuti aturan keraton setelah memasuki pasaran utama. Masih bisa menikmati suasana hutan lindung disekitar makam utama bila tidak berkenan masuk mengikuti aturan kunjungan. Atau beristirahat dibangsal. Sangat rekomended utk wisata religi. Sangat recommended utk tes kebugaran. Untuk yg pny keterbatasan fisik jalan mendaki ada layanan ojek motor,negative,0.367,,,,,,,negative,0.367,,,negative,0.367,,,,,,,,,,,"cleanliness, accessibility, atmosphere",cleanliness:negative; accessibility:negative; atmosphere:negative,3
Situs Warungboto,Nuur Annisa,5,"Harga tiket murah banget, cuma 5000 untuk 1 motor. Ditambah biaya kebersihan seiklasnya, tapi tolong jika ada rezeki dilebihkan untuk perawatan tempat :D saya ke sana jam 10 sudah buka, tempatnya ga begitu rame jadi lebih leluasa ambil foto. Bisa juga foto prewed (pas saya ke sana ada yg prewed) tapi kurang tau dikenakan biaya tambahan/ tidak.",negative,0.454,,,negative,0.454,,,,,,,,,negative,0.454,,,,,negative,0.454,,,"cleanliness, price, food, photo_spot",cleanliness:negative; price:negative; food:negative; photo_spot:negative,4
Makam Raja-Raja Imogiri,niessaa a,5,"Letaknya ada di imogiri , kurang lebih 25 dari kota jogja . Disini tempat makam para raja / sultan HB jogja .. tempatnya sejuk asri . Saya kesini kebetulan untk olahraga , bukan untk ziarah . Akses ke makam menggunakan tangga . Anak tanggany banyak dan curam . Kalo pagi banyak untk olahrraga . Kalo hr libur di parkiran ada org jual bubur dan aneka sarapan . Tp kalo hr biasa bisa parkir sampai atas .. tidak perlu membayar tiket masuk . Tp ada dana keikhlasan pengelolaaan sampaah ya. Bayar seikhla",,,negative,0.672,negative,0.672,,,negative,0.672,,,negative,0.672,,,negative,0.672,,,,,,,"facilities, price, accessibility, atmosphere, safety",facilities:negative; price:negative; accessibility:negative; atmosphere:negative; safety:negative,5
Pantai Nglambor,Gunawan Satyakusuma,5,"“Pantai Nglambor punya view unik dengan karang besar pemecah ombak. Aman buat main air dan snorkeling. Suasananya masih alami, cocok buat liburan santai bareng teman.”",,,,,,,,,,,neutral,0.835,neutral,0.835,,,neutral,0.835,,,,,,,"scenery, atmosphere, safety",scenery:neutral; atmosphere:neutral; safety:neutral,3
Pantai Sadranan,Bowo Ardianto,5,"Salah satu pantai di Gunungkidul yang mempunyai pemandangan bawah air yang menakjubkan. Ombaknya relatif tenang karena relief pantai yang berfungsi menahan ombak. Pasirnya putih, bersih dan relatif tebal. Alam bawah laut yang bisa dinikmati dengan snorkling. Jangan khawatir, sarana dan prasarana yang sudah tersedia banyak ditawarkan penjaja jasa snorkling. Mereka menawarkan kepada wisatawan yang ingin snorkling Akses jalan yang mudah dan nyaman. Fasilitas penunjang wisata cukup lengkap. Kamar ma",negative,0.439,negative,0.439,,,,,negative,0.439,negative,0.439,negative,0.439,negative,0.439,negative,0.439,,,,,,,"cleanliness, facilities, accessibility, scenery, atmosphere, food, safety",cleanliness:negative; facilities:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative,7
Pantai Wediombo,Sea Halberd,4,"aowkaoakowoak niatnya ke bukit klangon malah kemaleman gara2 kepentok hujan astagaa 😂 yaudah kesini ae lah yg paling deket, dari atas sudah digetok suruh parkir diatas (ya emang kalo kebawah parkir dimana juga wkwk). Kata yg jaga parkir, tutupnya jam 7. Turun lewat tangga, kalo malas naik turun tinggal pake ojek (maksa amat, turunan gitu doang ada ojek, ah gpplah anggap aja fitur premium wkwk). pantai lumayan bagus sih, cuma nuansa bukit nya agak kurang, bagusan pantai yang agak barat, lihat jug",negative,0.878,negative,0.878,,,,,negative,0.878,negative,0.878,,,,,,,,,,,,,"cleanliness, facilities, accessibility, scenery",cleanliness:negative; facilities:negative; accessibility:negative; scenery:negative,4
Pantai Drini,Windi Resto,5,"Kesini pas bukan weekend, jadi pantai sepi, bisa puas main kano dan explore pantai",,,,,,,,,,,,,positive,0.435,,,,,positive,0.435,,,,,"atmosphere, crowd",atmosphere:positive; crowd:positive,2
Studio Alam Gamplong,yusrin nasrillah,5,Seru banget di sini banyak spot foto aestetik. Fasilitas musholah bersih tempat beli snack dan makanan banyak yang self service tapi kebersihan bagus banget. Over all tempat ini bersih banget tempatnya. Petugas di setiap point ramah banget sampai nawarkan untuk bantu foto juga. Sangat rekomendasi dikunjungi pas liburan di jogja.,positive,0.507,positive,0.507,,,positive,0.507,,,positive,0.507,,,positive,0.507,,,,,positive,0.507,,,"cleanliness, facilities, service, scenery, food, photo_spot",cleanliness:positive; facilities:positive; service:positive; scenery:positive; food:positive; photo_spot:positive,6
Agrowisata Bhumi Merapi,Ikhda Kartikasari,4,"Bhumi Merapi. Tempat wisata ramah anak, ada beberapa hewan seperti kelinci, ular, biawak, katak, alpaca, burung, ikan koi, dll. Harga tiket 30rb sudah bisa masuk spot foto Santorini. Untuk mainan lain bayar ditempat.",neutral,0.364,,,neutral,0.364,neutral,0.364,,,,,,,,,,,,,neutral,0.364,,,"cleanliness, price, service, photo_spot",cleanliness:neutral; price:neutral; service:neutral; photo_spot:neutral,4
Malioboro,Dinda Nurul Aini,5,"Saya sangat suka sekali dengan tempat wisata ini karena sangat indah dan nyaman untuk tempat wisata. Banyak sekali wisatawan yang datang jauh-jauh dari berbagai daerah salah satunya saya, banyak sekali penjual makanan maupun barang-barang khas dari daerah Yogyakarta. Saya ingin kembali lagi mengunjungi tempat wisata jalan Malioboro lagi.",,,,,,,,,negative,0.525,negative,0.525,negative,0.525,negative,0.525,negative,0.525,,,,,,,"accessibility, scenery, atmosphere, food, safety",accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative,5
Pantai Kesirat,Aris Risnandar,5,"Melihat matahari terbenam dan menikmati sore sambil duduk bersama teman di sini, saya menemukan bahwa hal inilah yang seharusnya di lakukan. Tidak terlalu fokus dengan gawai dan dunia luar, saya bisa menikmati keindahan pantai dan tertawa di sini. Sangat nyaman dan embusan angin sore. Layak untuk Anda coba ketika ke Gunungkidul.",,,,,,,,,,,negative,0.52,negative,0.52,,,negative,0.52,,,,,,,"scenery, atmosphere, safety",scenery:negative; atmosphere:negative; safety:negative,3
Agrowisata Bhumi Merapi,ursulin setyastika,5,"destinasi wisata edukasi yang menarik, tidak hanya menawarkan mini zoo interaktif yang mendidik, tetapi juga memberikan kesempatan untuk berinteraksi langsung dengan beberapa hewan. Tempat ini memiliki banyak spot foto yang indah ala Santorini, yang nge-hits dan viral di Jogja. Fasilitas tempat makan tersedia untuk memanjakan lidah, dan pastinya, toilet yang bersih juga disediakan untuk kenyamanan pengunjung. Tempat parkir juga luas.",negative,0.411,negative,0.411,,,,,negative,0.411,negative,0.411,negative,0.411,negative,0.411,negative,0.411,negative,0.411,negative,0.411,,,"cleanliness, facilities, accessibility, scenery, atmosphere, food, safety, crowd, photo_spot",cleanliness:negative; facilities:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative; crowd:negative; photo_spot:negative,9
Pantai Indrayanti,Febriasyraf Charifa,5,"Pantainya cukup landai, pasirnya putih dan cukup bersih. Ada persewaan gazeebo 30.000 sepuasnya. Biaya parkir mobil 10.000.",negative,0.547,negative,0.547,,,,,negative,0.547,,,,,,,,,,,,,,,"cleanliness, facilities, accessibility",cleanliness:negative; facilities:negative; accessibility:negative,3
Candi Prambanan,Widia rindi,5,"Tempat yang wajib dikunjungi kalau kalian lagi di Jogja. Kemarin ke Prambanan pas weekday jadi ga terlalu rame dan berdesakan. Tempat nya bersih dan ga ada sampah, masih terjaga banget. Oh iya, buat kalian yang ingin belajar sejarahnya juga, bisa banget berkunjung di ruang audiovisual nya yaa,disitu mengemas sejarah Prambanan dalam waktu 15 menit, cuma bayar 5 Ribu aja.",negative,0.611,,,negative,0.611,,,,,,,,,,,,,,,,,negative,0.611,"cleanliness, price, historical_value",cleanliness:negative; price:negative; historical_value:negative,3
Pantai Gesing,Dede Ridwan,5,Tiket masuknya murah pemangnya bagus apalagih sore di temanin dengan wanita cantik tambah sahdu pemandanya❤️,,,,,positive,0.976,,,,,positive,0.976,,,,,,,,,,,,,"price, scenery",price:positive; scenery:positive,2
Candi Kalasan,dwi suci hartini,5,"komplek candi dengan satu candi utama, terletak di daerah kalasan. reliefnya unik dan menarik terlihat pada beberapa bagian sisinya. karena menjulang tinggi, bagian pucuk candi ini sudah terlihat dari jalan solo-jogja bahkan jalan sepanjang selokan mataram.",,,,,,,,,positive,0.84,,,,,,,,,,,,,positive,0.84,"accessibility, historical_value",accessibility:positive; historical_value:positive,2
Pantai Sadeng,Novi Kanayu,5,Baru aja pulnag ni dari pantai sadeng . Tgl 1.1.2025 . Pantai nya tinggal sepetak ya . Lain nya nya mah kaya darmaga atau apa lah itu nama nya. . Karna tempat perahu nelayan ini mah. Tapi anak anak tetep happy si . Jaluur nya extrim menurut saya. Naik turun gunung,positive,0.893,positive,0.893,positive,0.893,positive,0.893,positive,0.893,positive,0.893,positive,0.893,positive,0.893,positive,0.893,positive,0.893,positive,0.893,positive,0.893,"cleanliness, facilities, price, service, accessibility, scenery, atmosphere, food, safety, crowd, photo_spot, historical_value",cleanliness:positive; facilities:positive; price:positive; service:positive; accessibility:positive; scenery:positive; atmosphere:positive; food:positive; safety:positive; crowd:positive; photo_spot:positive; historical_value:positive,12
Prawirotaman,Arum W,5,Asik buat jalan malam jgn lupa tempo gelato dan via2,,,,,,,,,negative,0.521,,,,,,,,,,,,,,,accessibility,accessibility:negative,1
Tugu Jogja,Miroy,5,"Memang benar Jogja itu istimewa, entah kotanya entah makanannya, tapi yang paling berkesan kenangannya. Kekasih saya berasal dari provinsi istimewa ini, orangnya benar istimewa, saya terkagum dengan semua yang ia miliki, paras indahnya, sifat yang membuat saya jatuh hati dengan kebaikan hati yang ia miliki, pertama kali main ke rumah sudah merasa nyaman dengan apa yang ia suguhkan di rumahnya. Aku cinta kamu sayangku❤️",,,,,,,,,,,positive,0.941,positive,0.941,positive,0.941,positive,0.941,,,,,,,"scenery, atmosphere, food, safety",scenery:positive; atmosphere:positive; food:positive; safety:positive,4
Pantai Gesing,sabbyn,5,"kesini dadakan sih gara gara tiktok wkwk. Oh ternyata lumayan jugaa, ga sebanding sama sakola tapi pantai gesing lebih dapet view nya. Sejukk pol disini sampe pengen boboan disini padahal aku dateng siang bolong tp ga ngerasa panas pas sampe lokasi. Deburan ombaknya nenangin banget. Sukaa❤️",,,,,,,,,,,positive,0.751,positive,0.751,,,positive,0.751,,,,,,,"scenery, atmosphere, safety",scenery:positive; atmosphere:positive; safety:positive,3
Prawirotaman,wendy & mila,5,Pengalaman pertama berkunjung kesini..ternyata banyak hotel dan gues house yang luar biasa nyaman,,,,,,,,,,,,,negative,0.698,,,negative,0.698,,,,,,,"atmosphere, safety",atmosphere:negative; safety:negative,2
Tugu Jogja,c. indri adhyarsari F M,5,Tugu legendnya icon jogja. Paling rame dikunjungi pagi & sore sd malam. Perempatan awal menuju malioboro yg penuh kisah. Klo ke jogja wajib foto2 disini. Buat kenangan kalo sudah pernah ke jogja. Sekarang banyak wisatawan yang nongkrong di sore hingga malam. Banyak jasa foto juga becak yang standby.,,,,,,,,,,,,,,,,,,,negative,0.508,negative,0.508,,,"crowd, photo_spot",crowd:negative; photo_spot:negative,2
Situs Warungboto,Junika Hutajulu,2,Ekspektasi situsnya menarik. Pantes kok pas dateng sepi banget ga ada orang.ada bapak penunggu kakek2 2 orang. Tapi kok keliatannya suram .item berlumut krn hujan terus Kali ya...sayang sih coba dirapihkan lagi biar jadi lebih menarik. Lgpula khan ada sejarahnya,negative,0.538,,,,,,,,,,,negative,0.538,,,,,negative,0.538,,,negative,0.538,"cleanliness, atmosphere, crowd, historical_value",cleanliness:negative; atmosphere:negative; crowd:negative; historical_value:negative,4
Pantai Baru,Hera Zain,5,"Bersih, bagus, nyaman, penjualnya ramah"" ,, harganya makanan minumannya normal,, murah, tempat ibadahnya jg banyak jd gak bingung",neutral,0.485,,,neutral,0.485,neutral,0.485,,,neutral,0.485,neutral,0.485,neutral,0.485,neutral,0.485,,,,,,,"cleanliness, price, service, scenery, atmosphere, food, safety",cleanliness:neutral; price:neutral; service:neutral; scenery:neutral; atmosphere:neutral; food:neutral; safety:neutral,7
Pantai Parangtritis,Yudi Irwanto,5,"Wisata pantai dengan pasir hitam perpaduan pantai dengan perbukitan,untuk harga masuk murah kita bisa wisata ofrod keliling pantai dengan harga terjangkau keliling pantai ada wahana offroad ke hutan Cemara(pantai Cemara Sewu)klo lgi wisata di Jogja enak sewa motor pake plat motor lokal cuma kena parkir aja",,,negative,0.645,negative,0.645,,,negative,0.645,,,,,negative,0.645,,,,,,,,,"facilities, price, accessibility, food",facilities:negative; price:negative; accessibility:negative; food:negative,4
Pantai Sadranan,theresia,5,"Pantai sangat bersih, seru karena bisa snorkeling dan naik perahu, kamar mandi nya juga lumayan bersih, cocok untuk penggemar lautan dan orang yang suka petualangan.",positive,0.475,positive,0.475,,,,,,,,,,,,,,,,,,,,,"cleanliness, facilities",cleanliness:positive; facilities:positive,2
Pantai Kukup,Wied Taslim,5,"Pantai di Gunung Kidul dengan pasir putih dan batu2 karang sungguh sangat memanjakan mata. Ombaknya yg cukup besar bikin suasana dramatik hehe.. tiap ada ambak gede petugas penjaga pantai selalu memperingatkan dengan peluit panjangnya. Di Pantai ini ada juga penginapan yg langsung menghadap Pantai, jadi kalo nginap nanti bisa puas main di pantai. Fasilitas lengkap, mushola, toilet, parkir yang luas waktu bayar 5.000 untuk mobil. Kalo mau kuliner seafood juga tersedia, aneka oleh2 olahan laut yan",,,negative,0.797,negative,0.797,negative,0.797,negative,0.797,,,negative,0.797,negative,0.797,negative,0.797,,,,,,,"facilities, price, service, accessibility, atmosphere, food, safety",facilities:negative; price:negative; service:negative; accessibility:negative; atmosphere:negative; food:negative; safety:negative,7
Museum Ullen Sentalu,yugi hatu,4,Penasaran karena seliweran di sosmed. Kesini jam 14.15 kirain ud ga bs masuk krn jdwl tutupnya jam 15.00 trnyt msh bisa. Beli yg paket hrg 50rb per person. Setelah beli tiket dilantai 1 trs naik ke lantai 2 utk cek in tiket. Kmd nunggu giliran utk tur museum sesuai paket yg dibeli. Selama tur tdk diperkenankan utk memakai hp dan dokumentasi. Tur berlangsung kurleb 45mnt. Isinya ttg koleksi lukisan dan sejarah tentang kerajaan di jogja. Stlh slsai tur baru boleh foto2 di area terbuka nya. Asli em,,,,,negative,0.536,,,,,negative,0.536,,,,,,,,,negative,0.536,negative,0.536,"price, scenery, photo_spot, historical_value",price:negative; scenery:negative; photo_spot:negative; historical_value:negative,4
Bukit Bintang,Henrico Roberta Veonardo,5,"Aku bareng istri pernah ke Bukit Bintang 2x di bulan Agustus 2024 lalu. Waktu pertama kali ke sana, jujur di luar ekspektasi karena emang aku kira seperti ada taman yang langsung menghadap city light ternyata spot bagusnya justru di trotoar. Terlebih jalan menuju sini lumayan gelap waktu malam hari padahal sangat ramai. Aku bareng istri nongkrong di Bukit Bintang sambil beli jagung bakar dengan harga 10rb, pop mie 10rb, dan minum air mineral 5rb. Jagung bakar yang enak pokok penjualnya itu bapak",,,negative,0.601,negative,0.601,,,negative,0.601,negative,0.601,negative,0.601,negative,0.601,negative,0.601,negative,0.601,negative,0.601,,,"facilities, price, accessibility, scenery, atmosphere, food, safety, crowd, photo_spot",facilities:negative; price:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative; crowd:negative; photo_spot:negative,9
Candi Kalasan,Isman Firmansyah,5,"Sangat cocok untuk liburan sambil belajar. Akses menuju lokasi sangat mudah. Dan lebih nikmatnya lagi kalau kita beli tiket terusan (candi Kalasan, candi Sambisari dan candi barong)",,,,,negative,0.483,,,negative,0.483,,,,,,,,,,,,,negative,0.483,"price, accessibility, historical_value",price:negative; accessibility:negative; historical_value:negative,3
Tugu Jogja,Feri Iskandar,5,"Tadi malam saya iseng jalan kaki dari Ambarukmo Plaza menuju Tugu Jogja. Perjalanan yang cukup jauh, tapi menyenangkan. Di depan Mall Art Gallery, saya sempat berhenti makan mie ayam pinggir jalan—sederhana tapi enak banget, apalagi dinikmati sambil lihat lalu lintas malam Jogja yang padat. Sampai di area Tugu, suasananya benar-benar ramai. Banyak orang berkumpul, entah sekadar nongkrong atau antre foto dengan ikon legendaris Jogja itu. Saya pun sempat ambil beberapa foto pakai tongsis, meskipun",,,,,,,,,negative,0.429,,,negative,0.429,negative,0.429,,,negative,0.429,negative,0.429,,,"accessibility, atmosphere, food, crowd, photo_spot",accessibility:negative; atmosphere:negative; food:negative; crowd:negative; photo_spot:negative,5
Pantai Ngobaran,Syeh Dakon,5,"Pantai yang indah dan bersih dengan debur ombak yg biru menghantam batu karang, kesan eksotis Bali pada bangunan diatas tebing curam menambah indahnya suasana pantai yang indah dan asri. Cukup ramai dikunjungi di hari Sabtu dan Minggu, yg pingin foto dengan sport menarik disini tempatnya, kesan Bali nya Jogja memang nggk salah tinggal sewa baju adat Jawa atau Bali cukup murah, tinggal sewa fotografer, tinggal cari lokasi buat bidikan kamera, dijamin mengesankan, bisa buat cerita anak cucu",negative,0.612,,,negative,0.612,,,,,negative,0.612,negative,0.612,,,negative,0.612,negative,0.612,negative,0.612,,,"cleanliness, price, scenery, atmosphere, safety, crowd, photo_spot",cleanliness:negative; price:negative; scenery:negative; atmosphere:negative; safety:negative; crowd:negative; photo_spot:negative,7
Pantai Slili,Wied Nap,5,Pantai pasir putih Indah dan bersih Tiket 15rb klo ga salah (lupa² inget) Parkir 15.000 Toilet 2000-8000 Sewa saung 30.000/2jam,negative,0.501,negative,0.501,negative,0.501,,,negative,0.501,negative,0.501,,,,,,,,,,,,,"cleanliness, facilities, price, accessibility, scenery",cleanliness:negative; facilities:negative; price:negative; accessibility:negative; scenery:negative,5
Studio Alam Gamplong,Dewi Puspita,5,"Keren banget, studio film yang real, bagus untuk foto², pilih tiket terusan 50 rb per org, supaya bisa masuk ke dalam bangunan / rumah²nya & naik train jadulnya.",,,,,negative,0.545,,,,,negative,0.545,,,,,,,,,negative,0.545,,,"price, scenery, photo_spot",price:negative; scenery:negative; photo_spot:negative,3
Pantai Depok,Yuli Setyawati,5,"akses jalannya baguss lewat jls yg baru itu, cocok buat liat sunset sama keluargaaa🤩 …",,,,,,,,,negative,0.985,negative,0.985,,,,,,,,,,,,,"accessibility, scenery",accessibility:negative; scenery:negative,2
Pantai Depok,Eusthacia Arzeti,1,"Kalau bisa jangan jadikan destinasi tmpt makan/wisata yaa teman‼️. Krna harganya mahal sekali. Tidak worth it 😢😢. Di daftar menu tidak ada harga. Dan makanan yg datang tdk sesuai dgn yg dipesan. Pesan lalapan 1 porsi yg datang 2 porsi. Banyak makelar dari parkir mobil. Jadi dipikir"" dlu yaa kalau mau kesini …",,,negative,0.932,negative,0.932,,,negative,0.932,,,,,negative,0.932,,,,,,,,,"facilities, price, accessibility, food",facilities:negative; price:negative; accessibility:negative; food:negative,4
Pantai Parangtritis,Ilham Devara S,4,"Untuk biaya masuk portal per orang 10 ribu, jadi akan mahal untuk membawa keluarga. Untuk pantai sesuai ekspetasi. Ada kolam renang untuk anak-anak, yang menyatu sama kamar mandi (5000 untuk mandi dan 3000 untuk mencuci). Didekat batas pantai dan laut, ada tempat berteduh dengan payung dan bayar. Serta ada penyewaaan Jeep untuk merasakan feel di pantai",,,negative,0.53,negative,0.53,,,negative,0.53,,,,,,,,,,,,,,,"facilities, price, accessibility",facilities:negative; price:negative; accessibility:negative,3
Museum Ullen Sentalu,Lutfi Arifahn,5,"Sebenarnya udah mau kesinii dari lama tapi baru kesampaian kemarin tgl 2 Januari 2026. Aku kesini bener"" amazeee bgtttt dan ambience nya tuh dapett. Aku ambil yg mataram tour, jujur aku beberapa kali ke museum baru kali ini dapet tour guide nya dengan penyampaiannya yg enak jadi kita tuh bener"" dibuat fokus sama penjelasannya Thanks buat Kak Nata. Honest review ya guisss next nyoba Vorstenlanden/English guided",,,,,,,positive,0.832,,,positive,0.832,,,positive,0.832,,,,,,,positive,0.832,"service, scenery, food, historical_value",service:positive; scenery:positive; food:positive; historical_value:positive,4
Pantai Baron,Rusmana,5,"Pantai cukup bersih ombak cukup tenang, tiket masuk murah parkir luas, harga makanan variasi dan murah",negative,0.771,negative,0.771,negative,0.771,,,negative,0.771,,,negative,0.771,negative,0.771,negative,0.771,,,,,,,"cleanliness, facilities, price, accessibility, atmosphere, food, safety",cleanliness:negative; facilities:negative; price:negative; accessibility:negative; atmosphere:negative; food:negative; safety:negative,7
Pantai Pok Tunggal,Hendrick Pratama,5,Pantainya masih sepi dan bagus bgt.. cocok juga buat nge camp bareng temen temen.. untuk akses jalannya bisa dilewati motor dan mobil. Tapi medannya jalan berbatu jadi harus hati2 bagi pengguna motor. Disana sudah ada banyak warung jadi …,,,,,,,,,negative,0.681,negative,0.681,negative,0.681,negative,0.681,,,negative,0.681,,,,,"accessibility, scenery, atmosphere, food, crowd",accessibility:negative; scenery:negative; atmosphere:negative; food:negative; crowd:negative,5
Pantai Depok,Rie 64,5,Sebelah kiri pantai Parangtritis sebelah kanan pantan baron... Walhasil bisa lari lari ma si kecil... Ngajakin makan seafood ndk ada yg suka si bocil jdnya balik kanan mundur cari makanan yg aman buat mereka mesti jalan yg dituju seperti menuju roma xixixixixi... Ramai juga kok...,,,,,,,,,negative,0.687,,,negative,0.687,negative,0.687,negative,0.687,negative,0.687,,,,,"accessibility, atmosphere, food, safety, crowd",accessibility:negative; atmosphere:negative; food:negative; safety:negative; crowd:negative,5
